customer_id,customer_name,email,signup_date,city
1,customer_001,customer_001@example.com,2023-01-08,chiang mai
2,customer_002,customer_002@example.com,2023-01-15,phuket
3,customer_003,customer_003@example.com,2023-01-22,khon kaen
4,customer_004,customer_004@example.com,2023-01-29,chonburi
5,customer_005,customer_005@example.com,2023-02-05,hat yai
6,customer_006,customer_006@example.com,2023-02-12,bangkok
7,customer_007,customer_007@example.com,2023-02-19,chiang mai
8,customer_008,customer_008@example.com,2023-02-26,phuket
9,customer_009,customer_009@example.com,2023-03-05,khon kaen
10,customer_010,customer_010@example.com,2023-03-12,chonburi
11,customer_011,customer_011@example.com,2023-03-19,hat yai
12,customer_012,customer_012@example.com,2023-03-26,bangkok
13,customer_013,customer_013@example.com,2023-04-02,chiang mai
14,customer_014,customer_014@example.com,2023-04-09,phuket
15,customer_015,customer_015@example.com,2023-04-16,khon kaen
16,customer_016,customer_016@example.com,2023-04-23,chonburi
17,customer_017,customer_017@example.com,2023-04-30,hat yai
18,customer_018,customer_018@example.com,2023-05-07,bangkok
19,customer_019,customer_019@example.com,2023-05-14,chiang mai
20,customer_020,customer_020@example.com,2023-05-21,phuket
21,customer_021,customer_021@example.com,2023-05-28,khon kaen
22,customer_022,customer_022@example.com,2023-06-04,chonburi
23,customer_023,customer_023@example.com,2023-06-11,hat yai
24,customer_024,customer_024@example.com,2023-06-18,bangkok
25,customer_025,customer_025@example.com,2023-06-25,chiang mai
26,customer_026,customer_026@example.com,2023-07-02,phuket
27,customer_027,customer_027@example.com,2023-07-09,khon kaen
28,customer_028,customer_028@example.com,2023-07-16,chonburi
29,customer_029,customer_029@example.com,2023-07-23,hat yai
30,customer_030,customer_030@example.com,2023-07-30,bangkok
31,customer_031,customer_031@example.com,2023-08-06,chiang mai
32,customer_032,customer_032@example.com,2023-08-13,phuket
33,customer_033,customer_033@example.com,2023-08-20,khon kaen
34,customer_034,customer_034@example.com,2023-08-27,chonburi
35,customer_035,customer_035@example.com,2023-09-03,hat yai
36,customer_036,customer_036@example.com,2023-09-10,bangkok
37,customer_037,customer_037@example.com,2023-09-17,chiang mai
38,customer_038,customer_038@example.com,2023-09-24,phuket
39,customer_039,customer_039@example.com,2023-10-01,khon kaen
40,customer_040,customer_040@example.com,2023-10-08,chonburi
41,customer_041,customer_041@example.com,2023-10-15,hat yai
